abierta,cerrada,simbolo,nombre,estrategia,direccion,entrada,salida,unidades,pnl_usd,motivo_cierre
2026-06-10 16:54:47,2026-06-14 22:39:57,BTC-USD,Bitcoin,momentum_breakout,long,62581.5117,64800.7531,0.090121,200.00,take profit
2026-06-14 22:39:57,2026-06-15 10:33:17,ES=F,S&P 500,mean_reversion,short,7500.7500,7536.4648,2.799958,-100.00,stop loss
2026-06-15 16:09:41,2026-06-16 22:00:07,ES=F,S&P 500,mean_reversion,short,7636.0000,7600.0991,5.626601,202.00,take profit
2026-06-17 07:27:33,2026-06-17 12:05:53,NQ=F,Nasdaq,mean_reversion,short,30575.5000,30447.4892,1.609551,206.04,take profit
2026-06-15 04:03:46,2026-06-17 12:05:53,BTC-USD,Bitcoin,momentum_breakout,long,65869.9922,65121.8026,0.135646,-101.49,stop loss
2026-06-17 18:34:26,2026-06-17 20:56:10,GC=F,Oro,trend_following,long,4383.6001,4314.3994,1.503822,-104.07,stop loss
2026-06-17 22:45:34,2026-06-18 09:45:40,GC=F,Oro,trend_following,short,4254.2998,4342.3005,1.171047,-103.05,stop loss
2026-06-21 22:12:58,2026-06-21 23:45:55,NQ=F,Nasdaq,mean_reversion,long,30506.5000,30433.5679,1.398483,-101.99,stop loss
2026-06-17 20:56:10,2026-06-22 15:23:10,BTC-USD,Bitcoin,momentum_breakout,short,64243.6914,65388.0113,0.090941,-104.07,stop loss
2026-06-23 04:40:01,2026-06-23 08:20:06,ES=F,S&P 500,mean_reversion,long,7501.7500,7481.5147,4.938590,-99.93,stop loss
2026-06-24 15:07:14,2026-06-24 19:09:52,BTC-USD,Bitcoin,momentum_breakout,short,61017.9805,59302.6692,0.115354,197.87,take profit
2026-06-24 20:55:43,2026-06-26 04:39:22,NQ=F,Nasdaq,mean_reversion,short,30094.7500,29551.5707,0.371565,201.83,take profit
2026-06-27 14:12:40,2026-06-28 16:48:34,BTC-USD,Bitcoin,momentum_breakout,long,60483.1992,59762.6387,0.142849,-102.93,stop loss
2026-06-28 18:03:50,2026-06-29 11:31:25,BTC-USD,Bitcoin,momentum_breakout,short,59493.1094,60080.0607,0.173612,-101.90,stop loss
2026-07-01 13:53:14,2026-07-01 20:23:37,NQ=F,Nasdaq,mean_reversion,long,30235.5000,30137.3049,1.027373,-100.88,stop loss
2026-07-01 16:25:10,2026-07-02 15:40:11,BTC-USD,Bitcoin,momentum_breakout,long,60087.6992,62061.0078,0.102292,201.85,take profit
2026-07-03 21:44:49,2026-07-06 13:32:33,BTC-USD,Bitcoin,momentum_breakout,long,62711.9883,62032.7874,0.150019,-101.89,stop loss
2026-07-06 22:02:52,2026-07-07 05:35:08,BTC-USD,Bitcoin,momentum_breakout,long,64435.9883,63500.2866,0.107805,-100.87,stop loss
2026-07-06 05:38:02,2026-07-07 20:57:44,GC=F,Oro,trend_following,long,4196.8999,4115.7979,1.263063,-102.44,stop loss
2026-07-07 14:28:12,2026-07-08 11:30:04,ES=F,S&P 500,mean_reversion,long,7548.0000,7531.3045,5.981547,-99.87,stop loss
2026-07-08 17:07:52,2026-07-09 10:14:39,CL=F,Petróleo,trend_following,long,75.8400,73.0885,35.559907,-97.84,stop loss
2026-07-10 06:43:19,2026-07-10 17:17:12,NQ=F,Nasdaq,mean_reversion,long,29789.5000,29932.5286,1.354465,193.73,take profit
2026-07-10 02:48:43,2026-07-13 08:15:19,BTC-USD,Bitcoin,momentum_breakout,long,63699.9883,62921.3998,0.124409,-96.86,stop loss
2026-07-13 04:49:33,2026-07-13 18:20:47,NQ=F,Nasdaq,mean_reversion,long,29651.5000,29513.3677,0.715263,-98.80,stop loss
2026-07-13 18:20:47,2026-07-14 03:32:29,BTC-USD,Bitcoin,momentum_breakout,short,61829.0000,62545.4442,0.135173,-96.84,stop loss
2026-07-14 00:08:06,2026-07-14 14:47:39,ES=F,S&P 500,mean_reversion,long,7542.5000,7574.2403,6.102281,193.69,take profit
2026-07-15 15:24:44,2026-07-15 16:50:40,NQ=F,Nasdaq,mean_reversion,long,29630.7500,29478.2323,0.641320,-97.81,stop loss
2026-07-14 16:12:31,2026-07-16 09:02:39,BTC-USD,Bitcoin,momentum_breakout,long,64688.9414,63875.0061,0.120173,-97.81,stop loss
2026-07-16 12:52:02,2026-07-16 19:06:02,ES=F,S&P 500,mean_reversion,long,7587.0000,7572.4717,6.597890,-95.86,stop loss
2026-07-17 01:02:28,2026-07-17 04:24:12,ES=F,S&P 500,mean_reversion,long,7548.5000,7532.2416,5.836844,-94.90,stop loss
2026-07-17 08:57:22,2026-07-17 14:02:18,ES=F,S&P 500,mean_reversion,long,7495.0000,7478.8185,5.805941,-93.95,stop loss
2026-07-17 14:02:19,2026-07-17 15:38:49,NQ=F,Nasdaq,mean_reversion,long,28420.0000,28700.9656,0.662070,186.02,take profit
2026-07-17 06:37:01,2026-07-17 18:04:01,BTC-USD,Bitcoin,momentum_breakout,short,62782.5898,63468.0586,0.137058,-93.95,stop loss
2026-07-17 19:31:41,2026-07-21 07:19:44,BTC-USD,Bitcoin,momentum_breakout,long,64224.2109,65773.1604,0.121282,187.86,take profit
